locus_id,gene_name,gene_id,gene_type,gtex_tissue,gtex_chrom,reference_genome,maf_min,maf_max,min_sample_size,alphagenome_sequence_length,alphagenome_target_data_source,alphagenome_target_gtex_tissue,alphagenome_batch_size,alphagenome_max_workers,alphagenome_retry_wait_seconds,enabled
elovl1_chr1_lung,ELOVL1,ENSG00000066322.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
dlgap3_chr1_lung,DLGAP3,ENSG00000116544.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
srm_chr1_lung,SRM,ENSG00000116649.10,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
wars2_chr1_lung,WARS2,ENSG00000116874.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mtr_chr1_lung,MTR,ENSG00000116984.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tspan1_chr1_lung,TSPAN1,ENSG00000117472.10,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
camsap2_chr1_lung,CAMSAP2,ENSG00000118200.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
rnf11_chr1_lung,RNF11,ENSG00000123091.5,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ahdc1_chr1_lung,AHDC1,ENSG00000126705.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mettl25b_chr1_lung,METTL25B,ENSG00000143303.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ctsk_chr1_lung,CTSK,ENSG00000143387.14,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensa_chr1_lung,ENSA,ENSG00000143420.19,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ilf2_chr1_lung,ILF2,ENSG00000143621.17,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
lefty2_chr1_lung,LEFTY2,ENSG00000143768.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ahcyl1_chr1_lung,AHCYL1,ENSG00000168710.18,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
colgalt2_chr1_lung,COLGALT2,ENSG00000198756.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
foxj3_chr1_lung,FOXJ3,ENSG00000198815.9,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tatdn3_chr1_lung,TATDN3,ENSG00000203705.11,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
phactr4_chr1_lung,PHACTR4,ENSG00000204138.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cfap45_chr1_lung,CFAP45,ENSG00000213085.10,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
wscd2_chr12_lung,WSCD2,ENSG00000075035.10,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
p3h3_chr12_lung,P3H3,ENSG00000110811.20,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
bcl7a_chr12_lung,BCL7A,ENSG00000110987.9,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
myf6_chr12_lung,MYF6,ENSG00000111046.4,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
krt18_chr12_lung,KRT18,ENSG00000111057.11,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
washc3_chr12_lung,WASHC3,ENSG00000120860.11,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
